datetime,direct_count,is_weekend,registered_count,total_rentals,is_holiday,conditions,temperature_c,perceived_temperature_c,humidity,windspeed_kmh
2011-01-01 00:00:00,3.0,True,13.0,16.0,False,1,3.3,3.0,81.0,0.0
2011-01-01 01:00:00,8.0,True,32.0,40.0,False,1,2.3,2.0,80.0,0.0
2011-01-01 02:00:00,5.0,True,27.0,32.0,False,1,2.3,2.0,80.0,0.0
2011-01-01 03:00:00,3.0,True,10.0,13.0,False,1,3.3,3.0,75.0,0.0
2011-01-01 04:00:00,0.0,True,1.0,1.0,False,1,3.3,3.0,75.0,0.0
2011-01-01 05:00:00,0.0,True,1.0,1.0,False,2,3.3,1.0,75.0,6.0
2011-01-01 06:00:00,2.0,True,0.0,2.0,False,1,2.3,2.0,80.0,0.0
2011-01-01 07:00:00,1.0,True,2.0,3.0,False,1,1.4,1.0,86.0,0.0
2011-01-01 08:00:00,1.0,True,7.0,8.0,False,1,3.3,3.0,75.0,0.0
2011-01-01 09:00:00,8.0,True,6.0,14.0,False,1,7.0,7.0,76.0,0.0
2011-01-01 10:00:00,12.0,True,24.0,36.0,False,1,9.9,10.0,76.0,17.0
2011-01-01 11:00:00,26.0,True,30.0,56.0,False,1,8.9,6.0,81.0,19.0
2011-01-01 12:00:00,29.0,True,55.0,84.0,False,1,11.7,12.0,77.0,19.0
2011-01-01 13:00:00,47.0,True,47.0,94.0,False,2,13.6,14.0,72.0,20.0
2011-01-01 14:00:00,35.0,True,71.0,106.0,False,2,13.6,14.0,72.0,19.0
2011-01-01 15:00:00,40.0,True,70.0,110.0,False,2,12.7,13.0,77.0,20.0
2011-01-01 16:00:00,41.0,True,52.0,93.0,False,2,11.7,12.0,82.0,20.0
2011-01-01 17:00:00,15.0,True,52.0,67.0,False,2,12.7,13.0,82.0,19.0
2011-01-01 18:00:00,9.0,True,26.0,35.0,False,3,11.7,12.0,88.0,17.0
2011-01-01 19:00:00,6.0,True,31.0,37.0,False,3,11.7,12.0,88.0,17.0
2011-01-01 20:00:00,11.0,True,25.0,36.0,False,2,10.8,11.0,87.0,17.0
2011-01-01 21:00:00,3.0,True,31.0,34.0,False,2,10.8,11.0,87.0,13.0
2011-01-01 22:00:00,11.0,True,17.0,28.0,False,2,10.8,11.0,94.0,15.0
2011-01-01 23:00:00,15.0,True,24.0,39.0,False,2,13.6,14.0,88.0,20.0
2011-01-02 00:00:00,4.0,True,13.0,17.0,False,2,13.6,14.0,88.0,20.0
2011-01-02 01:00:00,1.0,True,16.0,17.0,False,2,12.7,13.0,94.0,17.0
2011-01-02 02:00:00,1.0,True,8.0,9.0,False,2,11.7,12.0,100.0,19.0
2011-01-02 03:00:00,2.0,True,4.0,6.0,False,2,13.6,14.0,94.0,13.0
2011-01-02 04:00:00,2.0,True,1.0,3.0,False,2,13.6,14.0,94.0,13.0
2011-01-02 06:00:00,0.0,True,2.0,2.0,False,3,11.7,12.0,77.0,20.0
2011-01-02 07:00:00,0.0,True,1.0,1.0,False,2,10.8,11.0,76.0,13.0
2011-01-02 08:00:00,0.0,True,8.0,8.0,False,3,10.8,11.0,71.0,15.0
2011-01-02 09:00:00,1.0,True,19.0,20.0,False,2,9.9,10.0,76.0,15.0
2011-01-02 10:00:00,7.0,True,46.0,53.0,False,2,8.9,7.0,81.0,15.0
2011-01-02 11:00:00,16.0,True,54.0,70.0,False,2,8.9,6.0,71.0,17.0
2011-01-02 12:00:00,20.0,True,73.0,93.0,False,2,8.9,6.0,66.0,20.0
2011-01-02 13:00:00,11.0,True,64.0,75.0,False,2,8.9,7.0,66.0,9.0
2011-01-02 14:00:00,4.0,True,55.0,59.0,False,3,8.9,7.0,76.0,13.0
2011-01-02 15:00:00,19.0,True,55.0,74.0,False,3,8.0,6.0,81.0,11.0
2011-01-02 16:00:00,9.0,True,67.0,76.0,False,3,8.0,6.0,71.0,11.0
2011-01-02 17:00:00,7.0,True,58.0,65.0,False,1,8.0,6.0,57.0,13.0
2011-01-02 18:00:00,10.0,True,43.0,53.0,False,2,8.9,6.0,46.0,22.0
2011-01-02 19:00:00,1.0,True,29.0,30.0,False,1,7.0,3.0,42.0,30.0
2011-01-02 20:00:00,5.0,True,17.0,22.0,False,1,6.1,2.0,39.0,24.0
2011-01-02 21:00:00,11.0,True,20.0,31.0,False,1,4.2,-1.0,44.0,22.0
2011-01-02 22:00:00,0.0,True,9.0,9.0,False,1,3.3,-2.0,44.0,20.0
2011-01-02 23:00:00,0.0,True,8.0,8.0,False,1,2.3,-1.0,47.0,11.0
2011-01-03 00:00:00,0.0,False,5.0,5.0,False,1,2.3,-3.0,44.0,24.0
2011-01-03 01:00:00,0.0,False,2.0,2.0,False,1,1.4,-5.0,44.0,28.0
